City,Latitude,Fixed Tilt Sun Hours Per Day,1-Axis Tilt Sun Hours Per Day,2-Axis Tilt Sun Hours Per Day,Average Wind Speed, Population
"Alamo, NV ",37.4,6,7.8,8.8,20.81 mph,939
"Amargosa Valley, NV",36.6,5.8,7.8,9.1,21.93 mph,1232
"Austin, NV ",39.5,5.9,7.9,8.5,15.82 mph,74
"Baker, NV ",39,6.1,8.3,8.7,20.49 mph,23
"Battle Mountain, NV ",40.6,5.9,8.2,8.4,12.09 mph,"3,253"
"Beatty, NV ",36.9,6.2,7.7,8.9,22.12 mph,"1,021"
"Blue Diamond, NV ",36,6.5,8.8,9,20.18 mph,274
"Boulder City, NV ",35.8,6.6,7.8,9.2,15.23 mph,"15,162"
"Bunkerville, NV ",36.7,5.8,8.4,8.6,15.08 mph,"1,431"
"Cal Nev Ari, NV ",35.3,6.7,7.9,9.1,16.79 mph,125
"Caliente, NV ",37.6,6.9,8.1,9.1,18.71 mph,"1,140"
"Carlin, NV ",40.7,6,7.6,8.9,15.19 mph,"2,409"
"Carson City, NV ",39.2,5.8,7.8,8.1,16.02 mph,"54,634"
"Cold Springs, NV ",39.7,6.3,8.1,8.8,15.41 mph,"8,606"
"Crescent Valley, NV ",40.4,6.5,8.4,8.5,13.18 mph,388
"Crystal Bay, NV ",39.2,5.8,7.8,8.1,15.23 mph,193
"Dayton, NV ",39.3,6.7,8.4,9.2,15.74 mph,"8,972"
"Denio, NV ",42,6.7,8.1,8.8,20.82 mph,44
"Dyer, NV ",37.6,6.9,8.1,9.1,18.78 mph,149
"East Valley, NV ",36.1,6.7,8.5,8.6,16.47 mph,"1,478"
"Elko, NV ",40.83,5.4,7.3,7.5,17.98 mph,"19,308"
"Ely, NV ",39.38,5.8,7.8,8.1,20.44 mph,"4,250"
"Empire, NV ",40.6,5.9,8.2,8.4,16.61 mph,41
"Enterprise, NV ",36,6.5,8.8,9,17.71 mph,"124,564"
"Eureka, NV ",39.5,5.9,7.9,8.5,17.36 mph,423
"Fallon, NV ",39.5,5.9,7.9,8.5,16.06 mph,"8,451"
"Fernley, NV ",39.6,6.6,7.7,9.1,16.86 mph,"19,184"
"Gabbs, NV ",38.9,6.2,7.8,8.7,16.85 mph,109
"Gardnerville Ranchos, NV ",38.9,6.2,7.8,8.7,16.16 mph,"11,040"
"Gardnerville, NV ",38.9,6.2,7.8,8.7,16.56 mph,"5,761"
"Genoa, NV ",39,6.1,8.3,8.7,16.01 mph,"1,104"
"Gerlach, NV ",40.6,5.9,8.2,8.4,16.75 mph,168
"Glenbrook, NV ",39.1,6.4,8.2,8.4,15.87 mph,215
"Golconda, NV ",41,6.5,8.2,8.8,16.20 mph,271
"Golden Valley, NV ",39.6,6.6,7.7,9.1,15.24 mph,"1,993"
"Goldfield, NV ",37.7,6.6,8.3,8.6,19.47 mph,412
"Goodsprings, NV ",35.8,6.6,7.8,9.2,19.18 mph,102
